topic_id,topic_name
0,payment_pay_make_would_time_month_balance_receive_due_charge
1,check_would_tell_get_money_say_day_could_call_ask
2,bank_account_transaction_money_fund_fraud_close_customer_transfer_debit
3,account_close_open_check_deposit_fund_branch_transfer_new_access
4,credit_report_consumer_debt_information_reporting_request_dispute_act_inquiry
5,call_receive_say_claim_send_number_letter_back_email_state
6,card_charge_purchase_use_credit_fee_transaction_service_offer_fraudulent
7,loan_mortgage_service_home_modification_document_property_request_state_borrower
